hotel_name	location	room_type	features	original_price	discounted_price
Citadines Namba Osaka	3-5-25 Nippombashi, Naniwa-ku, Osaka-shi, Osaka	Studio, 1 Queen Bed (Double)	City view | Sleeps 3 | Free WiFi | 26 sq m | 1 Queen Bed | Collect and Redeem	€225	€191
Citadines Namba Osaka	3-5-25 Nippombashi, Naniwa-ku, Osaka-shi, Osaka	Studio (Twin)	City view | Sleeps 3 | Free WiFi | 25 sq m | 2 Single Beds | Collect and Redeem	€225	€191
Citadines Namba Osaka	3-5-25 Nippombashi, Naniwa-ku, Osaka-shi, Osaka	Deluxe Twin Room	City view | Sleeps 4 | Free WiFi | 31 sq m | 2 Single Beds | Collect and Redeem	€240	€204
Citadines Namba Osaka	3-5-25 Nippombashi, Naniwa-ku, Osaka-shi, Osaka	Deluxe Room, 1 Queen Bed	City view | Sleeps 4 | Free WiFi | 33 sq m | 1 Queen Bed | Collect and Redeem	€240	€204
Citadines Namba Osaka	3-5-25 Nippombashi, Naniwa-ku, Osaka-shi, Osaka	Executive Twin Room	City view | Sleeps 3 | Free WiFi | 34 sq m | 2 Single Beds | Collect and Redeem	€255	€216
Citadines Namba Osaka	3-5-25 Nippombashi, Naniwa-ku, Osaka-shi, Osaka	Family Room	City view | Sleeps 4 | Free WiFi | 29 sq m | 2 Double Beds | Collect and Redeem	€255	€216
Citadines Namba Osaka	3-5-25 Nippombashi, Naniwa-ku, Osaka-shi, Osaka	Executive Room, 1 Queen Bed	City view | Sleeps 3 | Free WiFi | 31 sq m | 1 Queen Bed | Collect and Redeem	€255	€216
Citadines Namba Osaka	3-5-25 Nippombashi, Naniwa-ku, Osaka-shi, Osaka	Premier Double Room	City view | Sleeps 4 | Free WiFi | 38 sq m | 1 Queen Bed | Collect and Redeem	€270	€229
Citadines Namba Osaka	3-5-25 Nippombashi, Naniwa-ku, Osaka-shi, Osaka	Premier Twin Room	City view | Sleeps 4 | Free WiFi | 38 sq m | 2 Single Beds | Collect and Redeem	€270	€229
Citadines Namba Osaka	3-5-25 Nippombashi, Naniwa-ku, Osaka-shi, Osaka	Room, 1 Bedroom (Twin)	City view | Sleeps 4 | Free WiFi | 59 sq m | 2 Single Beds | Collect and Redeem	€479	€407
Citadines Namba Osaka	3-5-25 Nippombashi, Naniwa-ku, Osaka-shi, Osaka	Room, 1 Bedroom (Double)	City view | Sleeps 4 | Free WiFi | 45 sq m | 1 Queen Bed | Collect and Redeem	€479	€407
Citadines Namba Osaka	3-5-25 Nippombashi, Naniwa-ku, Osaka-shi, Osaka	Room, 2 Bedrooms	City view | Sleeps 7 | Free WiFi | 73 sq m | 1 Double Bed and 1 Queen Bed | Collect and Redeem	€928	€789
